			K00181	K03209	K00182	K00312	K00408	K00444	K00445	K00572	K00714	K01064	K01357	K01384	K01558	K01645	K19882	K01691	K19614	K16834	K02165	K02166	K02176	K02185	K02222	K02306	K02432	K02235	K02329	K02354	K02375	K02376	K02842	K04690	K03068	K10162	K08960	K02353	K03069	K03096	K03097	K03115	K03213	K03344	K03345	K03083	K02105	K02157	K04385	K02085	K08957	K02620	K04490	K04491	K04492	K04493	K04494	K04495	K04496	K04497	K04498	K04499	K04501	K04427	K04468	K04377	K04448	K04502	K04503	K10151	K10152	K04504	K01397	K04505	K04345	K04451	K04506	K04507	K03094	K04508	K03362	K03347	K03868	K08110	K04510	K04511	K19626	K04512	K04513	K17388	K04392	K07860	K07861	K04440	K05858	K04515	K04348	K06268	K02677	K19662	K19663	K04446
																																																																																															103673552	103664598						
E.Ani	Felis	fca	101093667	101094190	101080904	101088533	101095185	101085809	101099392	101083664	101096357	101080844	101093948	101100080	101090252	101080489	101090914	101088855	101099915	101083725	101090100	101083585	101093851	101100795	101088696		101082735	101085253	101095250	101093710	101101229	101101443	101081169		101082246		101101321	101095675	101087686	105261037	101084186	101087664	101096624	105260512	101083362	101081660	101097342	101088804	101093061	101096138	101085602	101098768	101089850	101095618	101088077	101094518	101097402		101095494		101088344	101089177	101093650	101095899	101080751	100379628	101097261	101101337	100037407	101090950	101101311	101098383	727698	101087239	101090494	493847	101090311	101097613	101099017	101098398	101094156	101087051	101087758	101086636	101082425	101086637	101085078	101086145	101084011	101094501	101101277	101096744	101080496	101101463	101090005	101098615	101097144	101097765	101086433	101088970	101082196	101101259
					493672	101080607		101080694		101095592	101089489		101092455								101099547						101087255				101097508		101087697		101084481			101084782			101093065		101081447				105259963			101097211									101099152		101094471														101095353		105261399			101084773	101097596				101094645	101098966		101098546						101091310	101092262	101098221	101086926	101090344				
																					101097173																	101094385																																							105260137																	101084765	101092961	101098090	101093097					
																																																																																															101090942	101084342						
																																																																																															102899339							
E.Ani	Panthera	ptg	102967780	102962277	102954954	102950040		102958778	102956004	102972888	102966525	102950323	102956294	102971675	102959880	102968464	102954360	102960918	102949958		102966538		102962821	102954268	102968069		102948653	102962395	102961371	102952336	102969190	102953646	102970273		102968142	102960298	102969346	102954084			102963968	102953509	102972345	102949696	102951775	102961382	102959570	102951323	102967280	102948725	102949834	102957988	102958078	102961321	102970026	102961838	102972686		102971287		102953207	102966244	102961093	102963341	102950636	102954147	102958666	102950821	102959906	102970259	102970915	102971511	102971750	102966511	102948983	102962571	102959352	102972187	102957702	102969966	102953972	102957061	102955881	102970563	102971730	102954400	102971719	102955910	102952555	102949986	102968561	102961922	102955504	102963096	102961437	102966494	102952632	102965200	102968590	102952814	102956490	
					102963336	102962551		102965201		107180716	102956179	102962257	102961987								102971689						102968815						102953438		102968327			102967723			102969391		102964681							102969111											102968704														102972158		102966971			102949062	102962015				102958014	102966168		102956245						102950880	102959485	102957556	102963447	102967427				
																					102963169																	102957003																																																								102959159	102960646	102950197	102949359					
																																																																																															102961121	102964851						
E.Ani	Acinonyx	aju	106989470	106969330	106969623	106985206		106967018		106978815	106966936	106985205	106970053	106976446	106970656	106976831	106986308	106981365	106983211		106990026	106978395	106982448	106980650	106966840		106978285	106974284	106983024	106967740	106967100	106980059	106986936		106965642	106977358	106981010	106988759			106986007	106983967	106977675	106966498	106968024	106968274	106966666	106977359	106975307	106973163	106985401	106984911	106978197	106974119	106983664	106984921	106971421	106974060	106978849		106978741	106986135	106974966	106983077	106983267	106976895	106974986	106971130	106971167	106965383	106974052	106972816	106976492	106974447	106973352	106972437	106985846	106968315	106984903	106969400	106966878	106981418		106981553	106978542	106968824	106972062	106972778	106979239	106977263	106982604	106981077	106986311	106969894	106968579	106968235	106970974	106967692	106975306	106970449	106980855	106977679
					106970665	106988834		106965408			106968544	106988831	106969331								106969515						106987276						106980711		106971089			106983787			106977015																		106971722		106979918														106985791		106982593			106973874	106989251				106969591	106978297		106974589						106970668	106976431	106970983	106982482	106972076				
																					106984318																	106972415																																																								106989581	106976432	106985400	106984696					
																																																																																															106981698	106977318	106981120					
E.Ani	Bos	bta	540373	540662	445420	540753	789600	530005	505075	533782	540199	511308	539337	613288	538627	508019	525682	533672	281386	282880	504445	282068	510821	518004	282069		445417	538507	445419	445416	538536	445418	515323		536328	530147	768234	523325	505664	539144	282419	539235	789390	539947	539639	790875	539003	504357	511619	526572	282684	782690	515303	540481	535399	614630	507111	534010	281730		505453	511475	540248	529146	507204	511077	280831	531389	524530	615414	540547	353106	286794	282705	282322	281542	534655	618428	615427	614346	534072	407228	518880	540179	520544	537192	529698	783665	338049	282041	281440	327671	619066	539941	287026	282162	286852	282321	282001	282325	282002	511224
					493729	522467		508008		100337066	538720	541243	537330						100337325		509338						524255				616913		521364		534450		407122	539203			282420		618586	107131302		107131288				533233	785423								513131																282323		100140342			515972	540642		780968		513056	785152		513742						534125	281985	525416	533527	617585				
																					541161																	614312													613515																										100336539			100849399														537631	515669	530719	790867					
																																																			100138998																										101906182																		508888	532713						
																																																																													101907097																									
E.Ani	Bos	bom	102273839	102268143	102288008	102275609	102269858	102269211	102286828	102279575	102285959	102278321	102267865	102266913	102274851	102266244	102279960	102278179	102282683	102268200	102279768	102270310	102269392	102278833	102267609		102275255	102277539	102273339	102286685	102282966	102265247	102267470		102277840	102280265	102286770	102287954	102269752		102281103	102281369	102265919	102286921	102284622	102275260	102275011	102267637	102278168	102282143	102272853	102266633	102281039	102272230	102266946	102267768	102280701	102264743	102285032		102264880	102264708	102265995	102264816	102274050	102274304	102267895	102275510	102270546	102272576	102268077	102282715	102286488	102282629	102281757	102272370	102277369	102282053	102266347	102285105	102280912	102277514	102272719	102273955	102287823	102282448	102277176	102276290	102280554	102267122	102273253	102277352	102286986	102266960	102276260	102271451	102266749	102272271	102278724	102274116	102265831	102285474
					102285570	102281377		102276467		102284700	102285045	102283149	102276805								102283413						102269934				102276331		102272449		102268590			102273776			102272104		102276263							102272116	102283373								102268831		102273007														102269124		102286575			102286242	102273208	102273634			102275064	102281539		102265519						102277976	102278948	102281822	102286752	102277736		102283558		102286049
										102287042											102280056																	102280462													102269709																										102278459					106701406												102272421	102264989	102279381	102275863					
